"","LOINC_NUM","COMPONENT","SYSTEM","LONG_COMMON_NAME","RELATEDNAMES2"
"44","15271-0","(Ambrosia elatior+Artemisia vulgaris+Chenopodium album+Plantago lanceolata+Salsola kali) Ak.IgE","Serum","(Ambrosia elatior+Artemisia vulgaris+Chenopodium album+Plantago lanceolata+Salsola kali) IgE-Antikörper [Nachweis] in Serum mit Multidisk",""
"45","15272-8","(Ambrosia psilostachya+Artemisia vulgaris+Atriplex lentiformis+Chenopodium album+Plantago lanceolata) Ak.IgE","Serum","(Ambrosia psilostachya+Artemisia vulgaris+Atriplex lentiformis+Chenopodium album+Plantago lanceolata) IgE-Antikörper [Nachweis] in Serum mit Multidisk",""
"46","15275-1","(Plantago lanceolata+Chenopodium album+Salsola kali+Rumex acetosella) Ak.IgE","Serum","(Plantago lanceolata+Chenopodium album+Salsola kali+Rumex acetosella) IgE-Antikörper [Nachweis] in Serum mit Multidisk",""
"47","14896-5","Proteinmuster","Urin","Proteinfraktionen [Interpretation] in Urin mit Immunfixation",""
"48","14910-4","Serotonin","Serum","Serotonin [Mol/Volumen] in Serum",""
"49","14918-7","Thyreoglobulin","Serum oder Plasma","Thyreoglobulin [Mol/Volumen] in Serum oder Plasma","hTG"
"50","14920-3","Thyroxin.frei","Serum oder Plasma","Thyroxin (T4) frei [Mol/Volumen] in Serum oder Plasma","fT4"
"51","14930-2","Trijodthyronin","Serum oder Plasma","Trijodthyronin (T3) [Mol/Volumen] in Serum oder Plasma",""
"52","30933-6","Nickel","Urin","Nickel [Masse/Volumen] in Urin gesammelt in unbestimmtem Zeitraum",""
"53","30954-2","Relevante diagnostische Tests &oder Labordaten","^Patient","Relevante diagnostische Tests/Labordaten - Freitext",""
"54","26964-7","Cystathionin","Urin","Cystathionin [Mol/Volumen] in Urin",""
"55","26973-8","Beta-Aminoisobutyrat","Urin","Beta-Aminoisobutyrat [Mol/Volumen] in Urin",""
"56","2657-5","Nitrit","Urin","Nitrit [Masse/Volumen] in Urin",""
"57","26582-7","Homocystein/Creatinin","Urin","Homocystein/Creatinin [Molverhältnis] in Urin",""
"58","26566-0","Zellen.CD19+Lambda+/100 Zellen","XXX","CD19+Lambda+-Zellen/100 Zellen in Probenmaterial",""
"59","32310-5","Cortisol","Urin","Cortisol [Mol/Zeit] in 24-Stunden-Urin","Kortisol"
"60","32311-3","Cortisol^1 Stunde nach XXX Stimulation","Serum oder Plasma","Cortisol [Mol/Volumen] in Serum oder Plasma --1 Stunde nach XXX Stimulation","Kortisol"
"61","32312-1","Cortisol^2 Stunden nach XXX Stimulation","Serum oder Plasma","Cortisol [Mol/Volumen] in Serum oder Plasma --2 Stunden nach XXX Stimulation","Kortisol"
"62","29267-2","Protoporphyrin","Stuhl","Protoporphyrin [Mol/Masse] in Stuhl",""
"63","29275-5","Körpermessungen","^Patient","Körpermessungen",""
"64","29284-7","Leucin","Blut","Leucin [Nachweis] in Blut",""
"65","29294-6","Methadon","Magenflüssigkeit","Methadon [Masse/Volumen] in Magenflüssigkeit",""
"66","24165-3","Beta vulgaris-Samen Ak.IgE","Serum","Beta vulgaris-Samen IgE-Antikörper [Einheiten/Volumen] in Serum",""
"67","14099-6","Nickel","Urin","Nickel [Masse/Volumen] in Urin",""
"68","14249-7","Purkinjezellen Ak","Serum","Purkinjezellen Antikörper [Nachweis] in Serum mit Immunfluoreszenztest",""
"69","24373-3","Ferritin","Blut","Ferritin [Masse/Volumen] in Blut",""
"70","25844-2","Alanin/Creatinin","Urin","Alanin/Creatinin [Molverhältnis] in 24-Stunden-Urin",""
"71","25845-9","Aldosteron","Urin","Aldosteron [Mol/Volumen] in 24-Stunden-Urin",""
"72","22265-3","Echinococcus sp Ak.IgG","Serum","Echinococcus sp IgG-Antikörper [Einheiten/Volumen] in Serum",""
"73","21331-4","HIV-1 p24 Ak","Serum","HIV-1 p24 Antikörper [Titer] in Serum mit Immunoblot",""
"74","12718-3","17-Hydroxyprogesteron^4. Probenmaterial nach XXX Stimulation","Serum oder Plasma","17-Hydroxyprogesteron [Masse/Volumen] in Serum oder Plasma --4. Probenmaterial nach XXX Stimulation","17-OH-Progesteron; 17-alpha-OH-Progesteron"
"75","12730-8","Interferon.beta","Serum oder Plasma","Interferon beta [Einheiten/Volumen] in Serum oder Plasma",""
"76","13312-4","IgA Ak.IgG","Serum oder Plasma","IgA IgG-Antikörper [Einheiten/Volumen] in Serum oder Plasma",""
"77","14997-1","Thyreotropin^30 Minuten nach Dosis TRH intravenös","Serum oder Plasma","Thyreotropin [Einheiten/Volumen] in Serum oder Plasma --30 Minuten nach Dosis TRH intravenös","TSH"
"78","14998-9","Thyreotropin^1 Stunde nach Dosis TRH intravenös","Serum oder Plasma","Thyreotropin [Einheiten/Volumen] in Serum oder Plasma --1 Stunde nach Dosis TRH intravenös","TSH"
"79","14999-7","Thyreotropin^Basislinie","Serum oder Plasma","Thyreotropin [Einheiten/Volumen] in Serum oder Plasma --Basislinie","TSH"
"80","15003-7","11-Hydroxyandrosteron","Urin","11-Hydroxyandrosteron [Mol/Zeit] in 24-Stunden-Urin",""
"81","1500-8","Glucose^1 Stunde nach 0,05-0,15 U Insulin/kg intravenös nach 12 Stunden Nahrungskarenz","Serum oder Plasma","Glucose [Masse/Volumen] in Serum oder Plasma --1 Stunde nach 0,05-0,15 U Insulin/kg intravenös nach 12 Stunden Nahrungskarenz","Glukose"
"82","58435-9","Mikroorganismen (Liste)","Urinsediment","Mikroorganismen (Liste) - Urinsediment",""
"83","17096-9","Lymphozyten.kappa/100 Lymphozyten","Blut","Kappa-Lymphozyten/100 Lymphozyten in Blut",""
"84","1711-1","Saure Phosphatase","Blut","Saure Phosphatase [Enzymaktivität/Volumen] in Blut",""
"85","17117-3","Zellen.CD15/100 Zellen","Blut","CD15-Zellen/100 Zellen in Blut",""
"86","17123-1","Zellen.CD19+Lambda+/100 Zellen","Blut","CD19+Lambda+-Zellen/100 Zellen in Blut",""
"87","17149-6","Zellen.CD42a/100 Zellen","Blut","CD42a-Zellen/100 Zellen in Blut",""
"88","17150-4","Zellen.CD42b/100 Zellen","Blut","CD42b-Zellen/100 Zellen in Blut",""
"89","19185-8","Gewebe-Polypeptid spezifisch Ag","Pleuraflüssigkeit","Gewebe-Polypeptid-spezifisch Antigen [Einheiten/Volumen] in Pleuraflüssigkeit",""
"90","1919-0","Aspartat-Aminotransferase","Körperflüssigkeit","Aspartat-Aminotransferase [Enzymaktivität/Volumen] in Körperflüssigkeit","AST; GOT; ASAT"
"91","19200-5","Prostataspezifisches Ag","Sperma","Prostataspezifisches Antigen [Mol/Volumen] in Sperma","PSA; Gesamt-PSA"
"92","19203-9","Prostataspezifisches Ag.frei","Serum oder Plasma","Prostataspezifisches Antigen frei [Mol/Volumen] in Serum oder Plasma","PSA"
"93","19208-8","Plattenepithelkarzinom Ag","Serum oder Plasma","Plattenepithelkarzinom Antigen [Mol/Volumen] in Serum oder Plasma","SCC"
"94","19133-8","Neisseria meningitidis Serogruppen A+C+w135+Y Ag","Zerebrospinalflüssigkeit","Neisseria meningitidis Serogruppen A+C+w135+Y Antigen [Nachweis] in Zerebrospinalflüssigkeit mit Latexagglutination",""
"95","14250-5","Purkinjezellen Ak.IgG","Serum","Purkinjezellen IgG-Antikörper [Einheiten/Volumen] in Serum mit Immunfluoreszenztest",""
"96","14282-8","Acylcarnitin","Serum oder Plasma","Acylcarnitin [Mol/Volumen] in Serum oder Plasma",""
"97","14286-9","Carnitin.frei","Serum oder Plasma","Carnitin frei [Mol/Volumen] in Serum oder Plasma",""
"98","14321-4","Haemophilus influenzae B Ag","Zerebrospinalflüssigkeit","Haemophilus influenzae B Antigen [Nachweis] in Zerebrospinalflüssigkeit mit Latexagglutination",""
"99","14343-8","Eosinophile/100 Leukozyten","Peritonealflüssigkeit","Eosinophile/100 Leukozyten in Peritonealflüssigkeit mit manueller Zählung",""
"100","21346-2","HTLV 1+2 Ak-Bandenmuster","Zerebrospinalflüssigkeit","HTLV 1+2 Antikörper-Bandenmuster [Interpretation] in Zerebrospinalflüssigkeit mit Immunoblot",""
"101","21348-8","HTLV 1+2 Ak.IgG","Serum","HTLV 1+2 IgG-Antikörper [Nachweis] in Serum mit Immunoassay",""
"102","21363-7","Legionella pneumophila DNA","XXX","Legionella pneumophila DNA [Nachweis] in Probenmaterial mit Nukleinsäureamplifikation mit Sondendetektion",""
"103","21364-5","Citrus limon Ak.IgG.RAST Klasse","Serum","Citrus limon IgG-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"104","21373-6","Lymphozyten.abnormal/100 Leukozyten","Synovialflüssigkeit","Abnormale Lymphozyten/100 Leukozyten in Synovialflüssigkeit mit manueller Zählung",""
"105","21384-3","Mesothelzellen","Peritonealflüssigkeit","Mesothelzellen [Nachweis] in Peritonealflüssigkeit mit Lichtmikroskopie",""
"106","2138-6","Coproporphyrinogenoxidase","Serum","Coproporphyrinogenoxidase [Enzymaktivität/Volumen] in Serum",""
"107","14624-1","Barbiturate","Magenflüssigkeit","Barbiturate [Nachweis] in Magenflüssigkeit",""
"108","14626-6","Beta-2-Mikroglobulin","Serum","Beta-2-Mikroglobulin [Mol/Volumen] in Serum","ß2-Mikroglobulin; b2-Mikroglobulin"
"109","14567-2","11-Desoxycortisol","Serum oder Plasma","11-Desoxycortisol [Mol/Volumen] in Serum oder Plasma",""
"110","21840-4","Geschlecht","^Patient","Geschlecht [North American Association of Central Cancer Register Standard Version 11]",""
"111","2190-7","Dehydroepiandrosteron-Sulfat (DHEA-S)","Amnionflüssigkeit","Dehydroepiandrosteron-Sulfat (DHEA-S) [Masse/Volumen] in Amnionflüssigkeit",""
"112","2191-5","Dehydroepiandrosteron-Sulfat (DHEA-S)","Serum oder Plasma","Dehydroepiandrosteron-Sulfat (DHEA-S) [Masse/Volumen] in Serum oder Plasma",""
"113","24119-0","Cytomegalie-Virus Ak.IgM","Serum oder Plasma","Cytomegalie-Virus IgM-Antikörper [Nachweis] in Serum oder Plasma mit Immunoassay","CMV"
"114","24148-9","Poa pratensis Ak.IgG","Serum","Poa pratensis IgG-Antikörper [Einheiten/Volumen] in Serum",""
"115","24154-7","Chenopodium album Ak.IgG","Serum","Chenopodium album IgG-Antikörper [Einheiten/Volumen] in Serum",""
"116","24162-0","Aspergillus fumigatus Ak.IgG.RAST Klasse","Serum","Aspergillus fumigatus IgG-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"117","14570-6","17-Hydroxyprogesteron","Urin","17-Hydroxyprogesteron [Mol/Volumen] in Urin","17-OH-Progesteron; 17-alpha-OH-Progesteron"
"118","14571-4","17-Hydroxyprogesteron","Urin","17-Hydroxyprogesteron [Mol/Zeit] in 24-Stunden-Urin","17-OH-Progesteron; 17-alpha-OH-Progesteron"
"119","14573-0","5-Hydroxyindolacetat","Urin","5-Hydroxyindolacetat [Mol/Zeit] in 24-Stunden-Urin","5-HIES"
"120","15009-4","5-Hydroxyindolacetat","Urin","5-Hydroxyindolacetat [Mol/Volumen] in Urin","5-HIES"
"121","15011-0","Aldosteron^liegend","Serum oder Plasma","Aldosteron [Mol/Volumen] in Serum oder Plasma --liegend",""
"122","15019-3","Alpha-1-Fetoprotein","Amnionflüssigkeit","Alpha-1-Fetoprotein [Mol/Volumen] in Amnionflüssigkeit","AFP"
"123","15675-2","Chrysanthemum leucanthemum Ak.IgE.RAST Klasse","Serum","Chrysanthemum leucanthemum IgE-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"124","15680-2","Dermatophagoides farinae Ak.IgE.RAST Klasse","Serum","Dermatophagoides farinae IgE-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"125","15686-9","Hundeepithel Ak.IgE.RAST Klasse","Serum","Hundeepithel IgE-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"126","14665-4","Kupfer","Serum oder Plasma","Kupfer [Mol/Volumen] in Serum oder Plasma",""
"127","14490-7","Virus identifiziert","Sperma","Virus identifiziert in Sperma mit Immunfluoreszenztest",""
"128","14498-0","Virus identifiziert","Urethra","Virus identifiziert in Harnröhre mit Immunfluoreszenztest",""
"129","14502-9","Humanes Papillomavirus Ag","Urethra","Humanes Papillomavirus Antigen [Nachweis] in Harnröhre",""
"130","26505-8","Neutrophile.segmentiert/100 Leukozyten","Blut","Segmentierte Neutrophile/100 Leukozyten in Blut","Segmentkernige"
"131","26981-1","Phenylalanin","Amnionflüssigkeit","Phenylalanin [Mol/Volumen] in Amnionflüssigkeit",""
"132","26998-5","Thyreotropin","Speichel","Thyreotropin [Einheiten/Volumen] in Speichel","TSH"
"133","26999-3","Homocystin","Urin","Homocystin [Mol/Volumen] in Urin",""
"134","14520-1","Pneumocystis jiroveci Ag","Nase","Pneumocystis jiroveci Antigen [Nachweis] in Nase mit Immunfluoreszenztest",""
"135","14524-3","Röteln-Virus Ag","Rachen","Röteln-Virus Antigen [Nachweis] im Rachen mit Immunfluoreszenztest",""
"136","14532-6","Röteln-Virus Ag","Penis","Röteln-Virus Antigen [Nachweis] in Penis mit Immunfluoreszenztest",""
"137","14552-4","Mumps-Virus Ag","Vaginalflüssigkeit","Mumps-Virus Antigen [Nachweis] in Vaginalflüssigkeit mit Immunfluoreszenztest","Mumps rubulavirus"
"138","14555-7","Mumps-Virus Ag","Urethra","Mumps-Virus Antigen [Nachweis] in Harnröhre mit Immunfluoreszenztest","Mumps rubulavirus"
"139","14557-3","Mycobacterium tuberculosis DNA","Bronchialtrakt","Mycobacterium tuberculosis DNA [Nachweis] in Probenmaterial aus dem Bronchialtrakt mit Nukleinsäureamplifikation mit Sondendetektion",""
"140","14566-4","Calcitriol","Serum oder Plasma","Calcitriol [Mol/Volumen] in Serum oder Plasma","1,25-(OH) 2-Vitamin D3; 1,25-Dihydroxy-Vitamin D3"
"141","14639-9","Carbamazepin","Serum oder Plasma","Carbamazepin [Mol/Volumen] in Serum oder Plasma",""
"142","2668-2","Noradrenalin","Urin","Noradrenalin [Masse/Zeit] in 24-Stunden-Urin","Norepinephrin"
"143","26691-6","Uroporphyrin-1-Isomer","Stuhl","Uroporphyrin-1-Isomer [Masse/Zeit] in 24-Stunden-Stuhl",""
"144","2821-7","Kalium","Körperflüssigkeit","Kalium [Mol/Volumen] in Körperflüssigkeit",""
"145","14642-3","Carotin","Serum oder Plasma","Carotin [Mol/Volumen] in Serum oder Plasma",""
"146","14646-4","Cholesterol.in HDL","Serum oder Plasma","Cholesterol in HDL [Mol/Volumen] in Serum oder Plasma",""
"147","14652-2","Clomipramin","Serum oder Plasma","Clomipramin [Mol/Volumen] in Serum oder Plasma",""
"148","14664-7","Farbe","Synovialflüssigkeit","Farbe von Synovialflüssigkeit",""
"149","14666-2","Kupfer","Urin","Kupfer [Mol/Zeit] in 24-Stunden-Urin",""
"150","25470-6","Quecksilber","Speichel","Quecksilber [Mol/Volumen] in Speichel",""
"151","25473-0","Metanephrin","Serum oder Plasma","Metanephrin [Mol/Volumen] in Serum oder Plasma",""
"152","25481-3","Molybdän","Serum oder Plasma","Molybdän [Mol/Volumen] in Serum oder Plasma",""
"153","2548-6","Lactatdehydrogenase 5/Lactatdehydrogenase.gesamt","Serum oder Plasma","Lactatdehydrogenase 5/Lactatdehydrogenase.gesamt in Serum oder Plasma mit Elektrophorese",""
"154","25489-6","Normetanephrin","Serum oder Plasma","Normetanephrin [Mol/Volumen] in Serum oder Plasma",""
"155","14667-0","Coproporphyrin 1","Serum oder Plasma","Coproporphyrin 1 [Mol/Volumen] in Serum oder Plasma",""
"156","14671-2","Coproporphyrin 3","Serum oder Plasma","Coproporphyrin 3 [Mol/Volumen] in Serum oder Plasma",""
"157","14683-7","Creatinin","Urin","Creatinin [Mol/Volumen] in Urin",""
"158","29322-5","Rickettsia typhi Ak.IgM","Körperflüssigkeit","Rickettsia typhi IgM-Antikörper [Nachweis] in Körperflüssigkeit",""
"159","29323-3","Kokain","Magenflüssigkeit","Kokain [Masse/Volumen] in Magenflüssigkeit","Cocain"
"160","29343-1","Röteln-Virus Ak.IgG","Körperflüssigkeit","Röteln-Virus IgG-Antikörper [Einheiten/Volumen] in Körperflüssigkeit",""
"161","25510-9","Prolin","Urin","Prolin [Mol/Zeit] in 24-Stunden-Urin",""
"162","25512-5","Protoporphyrin","Stuhl","Protoporphyrin [Mol/Zeit] in 24-Stunden-Stuhl",""
"163","25514-1","Röteln-Virus Ak.IgG","Serum","Röteln-Virus IgG-Antikörper [Nachweis] in Serum",""
"164","25523-2","Serin","Urin","Serin [Mol/Zeit] in 24-Stunden-Urin",""
"165","25526-5","Silizium","Serum oder Plasma","Silizium [Mol/Volumen] in Serum oder Plasma",""
"166","25534-9","Teicoplanin^TDM Spitze","Serum oder Plasma","Teicoplanin [Mol/Volumen] in Serum oder Plasma --Spitze",""
"167","2553-6","Lactose","Urin","Lactose [Nachweis] in Urin",""
"168","25547-1","Tyrosin","Urin","Tyrosin [Mol/Zeit] in 24-Stunden-Urin",""
"169","25555-4","Wuchereria bancrofti Ag","Serum","Wuchereria bancrofti Antigen [Nachweis] in Serum",""
"170","25554-7","Tenebrio mollitor Ak.IgE.RAST Klasse","Serum","Tenebrio mollitor IgE-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"171","25556-2","Xylose","Urin","Xylose [Mol/Volumen] in Urin",""
"172","25559-6","Zolpidem","Serum oder Plasma","Zolpidem [Mol/Volumen] in Serum oder Plasma",""
"173","25561-2","11-Desoxycorticosteron","Serum oder Plasma","11-Desoxycorticosteron [Mol/Volumen] in Serum oder Plasma",""
"174","25569-5","C-Peptid^11. Probenmaterial nach XXX Stimulation","Serum oder Plasma","C-Peptid [Mol/Volumen] in Serum oder Plasma --11. Probenmaterial nach XXX Stimulation",""
"175","14685-2","Cobalamine","Serum oder Plasma","Cobalamin (Vitamin B12) [Mol/Volumen] in Serum oder Plasma","Vitamin B12; Zyanokobalamin"
"176","14670-4","Coproporphyrin 1/Porphyrine.gesamt","Urin","Coproporphyrin 1/Porphyrine.gesamt in Urin",""
"177","14673-8","Coproporphyrin 3","Urin","Coproporphyrin 3 [Mol/Volumen] in Urin",""
"178","14694-4","Norclomipramin","Serum oder Plasma","Norclomipramin [Mol/Volumen] in Serum oder Plasma",""
"179","14719-9","Ethanol","Serum oder Plasma","Ethanol [Mol/Volumen] in Serum oder Plasma","Äthanol"
"180","14721-5","Ethylenglykol","Serum oder Plasma","Ethylenglykol [Mol/Volumen] in Serum oder Plasma",""
"181","324-4","Methicillin","Isolat","Methicillin [Empfindlichkeit] mit Agardiffusion",""
"182","3244-1","Lyse eines Koagels","Thrombozytenarmes Plasma","Gerinnselauflösung [Zeit] in thrombozytenarmem Plasma mit Gerinnungstest",""
"183","32495-4","Zellen.CD25/100 Zellen","XXX","CD25-Zellen/100 Zellen in Probenmaterial",""
"184","32684-3","Heparin.niedermolekular","Thrombozytenarmes Plasma","Niedermolekulares Heparin [Einheiten/Volumen] in thrombozytenarmem Plasma","LMW-Heparin; Faktor Xa"
"185","13318-1","Escherichia coli enteroinvasiv identifiziert","Stuhl","Escherichia coli enteroinvasiv identifiziert in Stuhl mit erregerspezifischer Kultur",""
"186","13327-2","Parainfluenza-Virus Ag","XXX","Parainfluenza-Virus Antigen [Nachweis] in Probenmaterial mit Immunfluoreszenztest",""
"187","13354-6","Neutrophile.stabkernig/100 Leukozyten","Körperflüssigkeit","Stabkernige Neutrophile/100 Leukozyten in Körperflüssigkeit mit manueller Zählung","Stabkernige"
"188","13432-0","Dopamin^2. Probenmaterial nach XXX Stimulation","Serum oder Plasma","Dopamin [Masse/Volumen] in Serum oder Plasma --2. Probenmaterial nach XXX Stimulation",""
"189","13462-7","Apolipoprotein A-I/Apolipoprotein B","Serum oder Plasma","Apolipoprotein A-I/Apolipoprotein B [Massenverhältnis] in Serum oder Plasma",""
"190","13464-3","Chrom/Creatinin","Urin","Chrom/Creatinin [Massenverhältnis] in Urin",""
"191","35036-3","Makrophagen","Körperflüssigkeit","Makrophagen [#/Volumen] in Körperflüssigkeit",""
"192","35048-8","Lymphozyten.abnormal","Synovialflüssigkeit","Abnormale Lymphozyten [#/Volumen] in Synovialflüssigkeit",""
"193","35057-9","Histiozyten","Körperflüssigkeit","Histiozyten [#/Volumen] in Körperflüssigkeit",""
"194","3507-1","Codein","Urin","Codein [Nachweis] in Urin",""
"195","3730-9","Lysergsäurediethylamid","Serum oder Plasma","Lysergsäurediethylamid [Nachweis] in Serum oder Plasma",""
"196","3731-7","Lysergsäurediethylamid","Serum oder Plasma","Lysergsäurediethylamid [Masse/Volumen] in Serum oder Plasma",""
"197","39474-2","Creatinin","Peritonealflüssigkeit","Creatinin [Mol/Volumen] in Peritonealflüssigkeit",""
"198","39478-3","Glucose","Glaskörperflüssigkeit","Glucose [Mol/Volumen] in Glaskörperflüssigkeit","Glukose"
"199","39481-7","Glucose","Blut arteriell","Glucose [Mol/Volumen] in arteriellem Blut","Glukose"
"200","40931-8","Yersinia sp Ak","Serum","Yersinia sp Antikörper [Nachweis] in Serum",""
"201","40947-4","Zink","Haar","Zink [Nachweis] in Haar",""
"202","40857-5","Präalbumin","Urin","Präalbumin [Masse/Volumen] in Urin",""
"203","4088-1","Valproat^TDM Tal","Serum oder Plasma","Valproat [Masse/Volumen] in Serum oder Plasma --Tal","Valproinsäure"
"204","40888-0","Zellen.CD11c+CD19+/100 Zellen","Körperflüssigkeit","CD11c+CD19+-Zellen/100 Zellen in Körperflüssigkeit",""
"205","4505-4","Komplement C5","Serum oder Plasma","Komplement C5 [Masse/Volumen] in Serum oder Plasma",""
"206","45054-4","Glucose^0-Uhr-Probenmaterial","Serum oder Plasma","Glucose [Mol/Volumen] in Serum oder Plasma --0-Uhr-Probenmaterial","Glukose"
"207","42926-6","Myeloid-Zellen/100 Zellen","Blut","Myeloid-Zellen/100 Zellen in Blut",""
"208","43411-8","Bakterien identifiziert","Aspirat","Bakterien identifiziert in Aspirat mit Kultur",""
"209","47132-6","Thioridazin","Urin","Thioridazin [Mol/Volumen] in Urin",""
